model_name,build_type,skuno,station,serial_number,repair_detail_created_at,repair_code,result,symptom_labels
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09906,2024-02-26 17:02:04,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09906,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-10071,2024-02-08 08:48:02,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2404-10071,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-10073,2024-02-07 11:38:46,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-procedural-error|no-output-detected|procedural-error|read-mce-tolerance-failed|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna|test-completion-missing-error-rainbow|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2404-10073,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00084,,,0,rsync-error|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00084,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00097,2024-03-06 09:57:57,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|lower critical limit violated|rsync-error|sensor-limits-satisfied|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00097,2024-03-08 09:16:53,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|lower critical limit violated|rsync-error|sensor-limits-satisfied|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00097,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00195,2024-02-07 10:05:52,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00195,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00204,2024-02-06 09:09:18,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00204,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00244,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00244,2024-02-05 17:55:49,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00244,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00272,,,0,rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00272,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00276,2024-03-15 12:17:43,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00276,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00291,,,0,rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00291,2024-02-08 15:46:20,RESEAT - TEMP,0,the sensor count of config_check_hw is not matched.
ASTORIA,GA,1154427,AST SDC Test,FWI2405-00291,,,1,
